"BlockName","BlockId","DistrictId","DistrictName","Url"
"Ambala-I","447","70","Ambala","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=70&Block_Code=447"
"Ambala-Ii","448","70","Ambala","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=70&Block_Code=448"
"Barara","449","70","Ambala","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=70&Block_Code=449"
"Naraingarh","450","70","Ambala","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=70&Block_Code=450"
"Saha","451","70","Ambala","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=70&Block_Code=451"
"Shahzadpur","452","70","Ambala","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=70&Block_Code=452"
"Badhra","453","81","Bhiwani","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=81&Block_Code=453"
"Bawani Khera","454","81","Bhiwani","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=81&Block_Code=454"
"Behal","455","81","Bhiwani","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=81&Block_Code=455"
"Bhiwani","456","81","Bhiwani","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=81&Block_Code=456"
"Dadri-I","457","81","Bhiwani","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=81&Block_Code=457"
"Dadri-Ii","458","81","Bhiwani","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=81&Block_Code=458"
"Kairu","459","81","Bhiwani","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=81&Block_Code=459"
"Loharu","460","81","Bhiwani","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=81&Block_Code=460"
